年份,分组,季度,加权回报率,月份,Year_Quarter,Date,Cumulative_Return
2013,2,12,0.1295656337661226,9-12,2013M12,2013-12-01,1.0
2013,1,12,0.1256625321055509,9-12,2013M12,2013-12-01,1.0
2013,3,12,0.1916384267420676,9-12,2013M12,2013-12-01,1.0
2013,0,12,0.1081666326592576,9-12,2013M12,2013-12-01,1.0
2013,4,12,0.1936858611046086,9-12,2013M12,2013-12-01,1.0
2014,0,4,0.0034413977120488,1-4,2014M4,2014-04-01,1.1024314448694714
2014,3,4,0.0543376862896052,1-4,2014M4,2014-04-01,1.3449081200724988
2014,1,4,0.046653546465621,1-4,2014M4,2014-04-01,1.2482394726892072
2014,2,4,0.006624971221143,1-4,2014M4,2014-04-01,1.126376160771126
2014,4,4,0.0667651628731,1-4,2014M4,2014-04-01,1.2409234796441724
2014,2,8,0.1227693102702072,5-8,2014M8,2014-08-01,1.2491454710413332
2014,0,8,0.1501705927524779,5-8,2014M8,2014-08-01,1.2526020376219495
2014,4,8,0.1218505823439479,5-8,2014M8,2014-08-01,1.3627740619881201
2014,1,8,0.1615853896365149,5-8,2014M8,2014-08-01,1.409824862325722
2014,3,8,0.187263933451051,5-8,2014M8,2014-08-01,1.5321720535235497
2014,3,12,0.3306926954006848,9-12,2014M12,2014-12-01,1.8628647489242345
2014,4,12,0.2581019174795802,9-12,2014M12,2014-12-01,1.6208759794677003
2014,1,12,0.3332204601094346,9-12,2014M12,2014-12-01,1.7430453224351568
2014,0,12,0.3340220089506069,9-12,2014M12,2014-12-01,1.5866240465725563
2014,2,12,0.2595551302077901,9-12,2014M12,2014-12-01,1.5087006012491233
2015,4,4,0.5208778476935376,1-4,2015M4,2015-04-01,2.1417538271612377
2015,2,4,0.5653985235548138,1-4,2015M4,2015-04-01,2.0740991248039373
2015,1,4,0.3943891044166927,1-4,2015M4,2015-04-01,2.1374344268518493
2015,3,4,0.5207198301738176,1-4,2015M4,2015-04-01,2.383584579098052
2015,0,4,0.4281288620136461,1-4,2015M4,2015-04-01,2.0147529085862024
2015,1,8,0.3141865833561725,5-8,2015M8,2015-08-01,2.451621010208022
2015,0,8,0.0811837179600831,5-8,2015M8,2015-08-01,2.0959366265462855
2015,2,8,0.2066304132813969,5-8,2015M8,2015-08-01,2.280729538085334
2015,3,8,0.2177486580421017,5-8,2015M8,2015-08-01,2.601333237140154
2015,4,8,0.2300706128664986,5-8,2015M8,2015-08-01,2.3718244400277366
2015,1,12,0.0913051091947849,9-12,2015M12,2015-12-01,2.5429261194028068
2015,2,12,0.1035639373231227,9-12,2015M12,2015-12-01,2.3842934754084566
2015,3,12,0.165137275848348,9-12,2015M12,2015-12-01,2.766470512988502
2015,0,12,0.1191358781830973,9-12,2015M12,2015-12-01,2.215072504729383
2015,4,12,0.3229031079416531,9-12,2015M12,2015-12-01,2.6947275479693897
2016,1,4,-0.1554599196063499,1-4,2016M4,2016-04-01,2.3874661997964566
2016,4,4,-0.131230834416261,1-4,2016M4,2016-04-01,2.563496713553129
2016,3,4,-0.1508677217062747,1-4,2016M4,2016-04-01,2.6156027912822273
2016,0,4,-0.1689356663861235,1-4,2016M4,2016-04-01,2.0461368383432594
2016,2,4,-0.1389896203217238,1-4,2016M4,2016-04-01,2.245303855086733
2016,3,8,0.0379099365723831,5-8,2016M8,2016-08-01,2.6535127278546105
2016,4,8,0.0596518699861003,5-8,2016M8,2016-08-01,2.623148583539229
2016,0,8,0.0297413221675901,5-8,2016M8,2016-08-01,2.0758781605108494
2016,1,8,0.0344762221177366,5-8,2016M8,2016-08-01,2.4219424219141934
2016,2,8,0.0712902659813146,5-8,2016M8,2016-08-01,2.3165941210680474
2016,2,12,0.0985265315139169,9-12,2016M12,2016-12-01,2.4151206525819644
2016,1,12,0.0804930023455923,9-12,2016M12,2016-12-01,2.5024354242597857
2016,3,12,0.0893412818211103,9-12,2016M12,2016-12-01,2.7428540096757206
2016,0,12,0.1515977882911587,9-12,2016M12,2016-12-01,2.227475948802008
2016,4,12,0.1167453173167052,9-12,2016M12,2016-12-01,2.739893900855934
2017,4,4,0.0437098770189228,1-4,2017M4,2017-04-01,2.7836037778748572
2017,2,4,0.0064506983971202,1-4,2017M4,2017-04-01,2.4215713509790846
2017,1,4,0.0258817416371213,1-4,2017M4,2017-04-01,2.5283171658969072
2017,3,4,-0.0037551105460806,1-4,2017M4,2017-04-01,2.73909889912964
2017,0,4,0.0072604696125757,1-4,2017M4,2017-04-01,2.2347364184145837
2017,1,8,0.0504867854403101,5-8,2017M8,2017-08-01,2.578803951337217
2017,0,8,-0.0206184819694364,5-8,2017M8,2017-08-01,2.214117936445147
2017,2,8,0.0190659660178738,5-8,2017M8,2017-08-01,2.440637316996958
2017,4,8,-0.030481369849308,5-8,2017M8,2017-08-01,2.7531224080255488
2017,3,8,-0.0382224594768898,5-8,2017M8,2017-08-01,2.70087643965275
2017,0,12,0.0766342888196889,9-12,2017M12,2017-12-01,2.2907522252648365
2017,4,12,0.0555008266889671,9-12,2017M12,2017-12-01,2.808623234714516
2017,2,12,0.0598074188318646,9-12,2017M12,2017-12-01,2.500444735828823
2017,1,12,0.0757937396894183,9-12,2017M12,2017-12-01,2.654597691026636
2017,3,12,0.0283607544487614,9-12,2017M12,2017-12-01,2.729237194101511
2018,3,4,0.0216790452534523,1-4,2018M4,2018-04-01,2.7509162393549635
2018,0,4,-0.0143586260053512,1-4,2018M4,2018-04-01,2.2763935992594853
2018,1,4,0.0181290204729329,1-4,2018M4,2018-04-01,2.6727267114995685
2018,2,4,0.026098075839454,1-4,2018M4,2018-04-01,2.526542811668277
2018,4,4,0.0134851668354087,1-4,2018M4,2018-04-01,2.822108401549925
2018,0,8,-0.1421110577519915,5-8,2018M8,2018-08-01,2.1342825415074937
2018,1,8,-0.1128093197560738,5-8,2018M8,2018-08-01,2.5599173917434945
2018,4,8,-0.0636613970815792,5-8,2018M8,2018-08-01,2.7584470044683456
2018,2,8,-0.1313919916715996,5-8,2018M8,2018-08-01,2.3951508199966773
2018,3,8,-0.1162240525783474,5-8,2018M8,2018-08-01,2.6346921867766167
2018,4,12,-0.1273183302021011,9-12,2018M12,2018-12-01,2.6311286742662445
2018,3,12,-0.1063954364058512,9-12,2018M12,2018-12-01,2.528296750370765
2018,2,12,-0.1154553199815223,9-12,2018M12,2018-12-01,2.279695500015155
2018,1,12,-0.1452797279920364,9-12,2018M12,2018-12-01,2.414637663751458
2018,0,12,-0.0795452166842215,9-12,2018M12,2018-12-01,2.054737324823272
2019,0,4,0.4087063280612246,1-4,2019M4,2019-04-01,2.4634436528844965
2019,4,4,0.3273046371828949,1-4,2019M4,2019-04-01,2.9584333114491397
2019,1,4,0.3752529142978156,1-4,2019M4,2019-04-01,2.789890578049274
2019,3,4,0.3455922294056728,1-4,2019M4,2019-04-01,2.8738889797764378
2019,2,4,0.3718056458922345,1-4,2019M4,2019-04-01,2.65150114590739
2019,4,8,-0.007117948156196,5-8,2019M8,2019-08-01,2.9513153632929434
2019,3,8,-0.0358803710499188,5-8,2019M8,2019-08-01,2.8380086087265193
2019,2,8,-0.0368533511624177,5-8,2019M8,2019-08-01,2.6146477947449718
2019,1,8,-0.0299287506226183,5-8,2019M8,2019-08-01,2.7599618274266557
2019,0,8,-0.0661694292425943,5-8,2019M8,2019-08-01,2.3972742236419022
2019,2,12,0.0517808133911095,9-12,2019M12,2019-12-01,2.6664286081360817
2019,1,12,0.0464575640392228,9-12,2019M12,2019-12-01,2.8064193914658784
2019,3,12,0.0835497991471376,9-12,2019M12,2019-12-01,2.9215584078736567
2019,0,12,0.0168934252253558,9-12,2019M12,2019-12-01,2.414167648867258
2019,4,12,0.0876201311794933,9-12,2019M12,2019-12-01,3.0389354944724367
2020,4,4,0.0530423813954867,1-4,2020M4,2020-04-01,3.0919778758679235
2020,3,4,0.0616686862210602,1-4,2020M4,2020-04-01,2.983227094094717
2020,2,4,0.0398996945700509,1-4,2020M4,2020-04-01,2.7063283027061322
2020,1,4,-0.0218813693006001,1-4,2020M4,2020-04-01,2.784538022165278
2020,0,4,0.0040664740463756,1-4,2020M4,2020-04-01,2.418234122913634
2020,1,8,0.3502552378435744,5-8,2020M8,2020-08-01,3.1347932600088524
2020,4,8,0.4680776869018395,5-8,2020M8,2020-08-01,3.560055562769763
2020,2,8,0.4559024803554588,5-8,2020M8,2020-08-01,3.162230783061591
2020,0,8,0.3785177696776247,5-8,2020M8,2020-08-01,2.7967518925912582
2020,3,8,0.4974517610246425,5-8,2020M8,2020-08-01,3.4806788551193595
2020,3,12,0.0442258452594983,9-12,2020M12,2020-12-01,3.524904700378858
2020,4,12,0.1027513903774608,9-12,2020M12,2020-12-01,3.6628069531472236
2020,0,12,-0.0120216970307128,9-12,2020M12,2020-12-01,2.7847301955605457
2020,1,12,0.0749206885537334,9-12,2020M12,2020-12-01,3.209713948562586
2020,2,12,0.0012576744600281,9-12,2020M12,2020-12-01,3.1634884575216193
2021,3,4,0.0263241613237816,1-4,2021M4,2021-04-01,3.5512288617026395
2021,0,4,0.0088029304553918,1-4,2021M4,2021-04-01,2.7935331260159373
2021,1,4,-0.0109129840718229,1-4,2021M4,2021-04-01,3.198800964490763
2021,2,4,-0.0401397606769408,1-4,2021M4,2021-04-01,3.1233486968446784
2021,4,4,-0.0046630722597994,1-4,2021M4,2021-04-01,3.6581438808874243
2021,0,8,0.2600534716278577,5-8,2021M8,2021-08-01,3.053586597643795
2021,1,8,0.2177268259179032,5-8,2021M8,2021-08-01,3.4165277904086664
2021,4,8,0.1676323313762686,5-8,2021M8,2021-08-01,3.8257762122636927
2021,2,8,0.1549255731630938,5-8,2021M8,2021-08-01,3.2782742700077723
2021,3,8,0.213676628892925,5-8,2021M8,2021-08-01,3.7649054905955643
2021,4,12,0.0860512700081459,9-12,2021M12,2021-12-01,3.9118274822718386
2021,1,12,0.1248780839511298,9-12,2021M12,2021-12-01,3.5414058743597963
2021,2,12,0.1595658404019782,9-12,2021M12,2021-12-01,3.4378401104097502
2021,3,12,0.168761054865113,9-12,2021M12,2021-12-01,3.9336665454606776
2021,0,12,0.1512532038798624,9-12,2021M12,2021-12-01,3.2048398015236574
2022,0,4,-0.096509313235388,1-4,2022M4,2022-04-01,3.1083304882882694
2022,4,4,-0.1654352163964519,1-4,2022M4,2022-04-01,3.7463922658753868
2022,1,4,-0.1416786226540525,1-4,2022M4,2022-04-01,3.3997272517057437
2022,3,4,-0.1447185080895915,1-4,2022M4,2022-04-01,3.7889480373710858
2022,2,4,-0.1441275569754032,1-4,2022M4,2022-04-01,3.2937125534343474
2022,3,8,0.1279906624430782,5-8,2022M8,2022-08-01,3.916938699814164
2022,2,8,0.0879890508302712,5-8,2022M8,2022-08-01,3.3817016042646184
2022,4,8,0.1310958143271092,5-8,2022M8,2022-08-01,3.8774880802024962
2022,1,8,0.0935782824481277,5-8,2022M8,2022-08-01,3.4933055341538712
2022,0,8,0.0606555913116264,5-8,2022M8,2022-08-01,3.168986079599896
2022,2,12,-0.0063214917484257,9-12,2022M12,2022-12-01,3.3753801125161926
2022,0,12,-0.0258629724762714,9-12,2022M12,2022-12-01,3.1431231071236243
2022,3,12,-0.0510282016604124,9-12,2022M12,2022-12-01,3.8659104981537515
2022,4,12,-0.0083016244177058,9-12,2022M12,2022-12-01,3.8691864557847904
2022,1,12,-0.0321391834065414,9-12,2022M12,2022-12-01,3.46116635074733
2023,4,4,0.1130409611818499,1-4,2023M4,2023-04-01,3.9822274169666403
2023,3,4,0.085232576946858,1-4,2023M4,2023-04-01,3.95114307510061
2023,2,4,0.063297023254583,1-4,2023M4,2023-04-01,3.4386771357707757
2023,1,4,0.1153118015557446,1-4,2023M4,2023-04-01,3.5764781523030744
2023,0,4,0.1386982256347084,1-4,2023M4,2023-04-01,3.2818213327583328
2023,1,8,-0.0187531160471086,5-8,2023M8,2023-08-01,3.557725036255966
2023,0,8,0.0341494839459954,5-8,2023M8,2023-08-01,3.3159708167043283
2023,2,8,0.0292250498504507,5-8,2023M8,2023-08-01,3.4679021856212264
2023,3,8,-0.0113862869874119,5-8,2023M8,2023-08-01,3.939756788113198
2023,4,8,0.0277568260000942,5-8,2023M8,2023-08-01,4.009984242966734
2023,1,12,-0.0522216719547701,9-12,2023M12,2023-12-01,3.505503364301196
2023,2,12,-0.0714630958250219,9-12,2023M12,2023-12-01,3.3964390897962047
2023,3,12,-0.0447003764565054,9-12,2023M12,2023-12-01,3.8950564116566926
2023,0,12,-0.0260496424550722,9-12,2023M12,2023-12-01,3.289921174249256
2023,4,12,-0.0778841406852228,9-12,2023M12,2023-12-01,3.9321001022815114
